2017-11-14 14:30:17.369 [http-apr-8080-exec-10] INFO  com.ray.dingtalk.isv.controller.IsvReceiveServlet - plainText:{"TimeStamp":"1510641016573","AuthCode":"21f6c8a9675c3ff6ac33ed044c666e7c","EventType":"tmp_auth_code","SuiteKey":"suitenqeusfld8dqkseqs"}
2017-11-14 14:30:17.386 [http-apr-8080-exec-10] INFO  com.ray.dingtalk.isv.controller.IsvReceiveServlet - Env.authCode:21f6c8a9675c3ff6ac33ed044c666e7c
2017-11-14 14:30:17.387 [http-apr-8080-exec-10] INFO  com.ray.dingtalk.isv.controller.IsvReceiveServlet - plainTextJson:{"AuthCode":"21f6c8a9675c3ff6ac33ed044c666e7c","EventType":"tmp_auth_code","TimeStamp":"1510641016573","SuiteKey":"suitenqeusfld8dqkseqs"}
2017-11-14 14:30:18.478 [http-apr-8080-exec-10] INFO  com.ray.dingtalk.isv.util.HttpHelper - POST请求结果：{"errcode":0,"errmsg":"ok","auth_corp_info":{"corpid":"ding86a8a5b5a7b5872135c2f4657eb6378f","corp_name":"ISV测试企业"},"permanent_code":"rSAxXidgzsVYEQ0oZcFHGAWKu9CXwUZa_Zea5WslJtnWL6949H3ZDE90il9_Wt0h"}
2017-11-14 14:30:18.479 [http-apr-8080-exec-10] INFO  com.ray.dingtalk.isv.service.IsvService - {"errcode":0,"auth_corp_info":{"corpid":"ding86a8a5b5a7b5872135c2f4657eb6378f","corp_name":"ISV测试企业"},"errmsg":"ok","permanent_code":"rSAxXidgzsVYEQ0oZcFHGAWKu9CXwUZa_Zea5WslJtnWL6949H3ZDE90il9_Wt0h"}
2017-11-14 14:30:18.480 [http-apr-8080-exec-10] INFO  com.ray.dingtalk.isv.controller.IsvReceiveServlet - permanentCodeAndCorpId:{"errcode":0,"auth_corp_info":{"corpid":"ding86a8a5b5a7b5872135c2f4657eb6378f","corp_name":"ISV测试企业"},"errmsg":"ok","permanent_code":"rSAxXidgzsVYEQ0oZcFHGAWKu9CXwUZa_Zea5WslJtnWL6949H3ZDE90il9_Wt0h"}
2017-11-14 14:30:18.481 [http-apr-8080-exec-10] INFO  com.ray.dingtalk.isv.util.FileUtils - path:G:\WorkSpace\Me\WeiXin_GZ_dev\dingtalk_isv\src\main\webapp\Permanent_Data\permanentcode.txt abs path:G:\WorkSpace\Me\WeiXin_GZ_dev\dingtalk_isv\src\main\webapp\Permanent_Data\permanentcode.txt
2017-11-14 14:30:19.473 [http-apr-8080-exec-10] INFO  com.ray.dingtalk.isv.util.HttpHelper - POST请求结果：{"errcode":0,"errmsg":"ok"}
2017-11-14 14:30:19.475 [http-apr-8080-exec-10] INFO  com.ray.dingtalk.isv.service.IsvService - {"errcode":0,"errmsg":"ok"}
